,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,name,speechiness,tempo,time_signature,track_name,type,uri,valence
452,0.464,0.67,230452,0.549,0.0,2,0.227,-8.973,1,Jimmy Roses,0.287,74.948,4,Nothin 2 Lose,bay_area,spotify:track:3eMGJUtsOEkHj9ZnG7ltmV,0.543
453,0.0103,0.667,197093,0.601,5.58e-06,10,0.205,-9.195,1,Jimmy Roses,0.0525,95.003,4,If I Can Be With You Tonight,bay_area,spotify:track:3X5FywXR9jwxRuxr8FCDit,0.395
454,0.0866,0.923,186867,0.688,0.0,4,0.143,-4.31,0,Jimmy Roses,0.044,114.521,4,Fallen To The Top,bay_area,spotify:track:4oERrc51kDh6cuQE25DGcW,0.359
455,0.058,0.478,904573,0.858,0.0,6,0.319,-3.688,0,Jimmy Roses,0.218,139.779,3,Thizz Iz A Nation,bay_area,spotify:track:4ixsMRouQaq0E6LWd7QJwI,0.51
456,0.131,0.789,171440,0.68,0.0,7,0.114,-5.964,1,Jimmy Roses,0.264,114.974,4,No Seat Belts,bay_area,spotify:track:3yiRd3M3svN6piLA7vFrP7,0.855
457,0.473,0.713,223427,0.693,0.0,7,0.0817,-4.911,0,Jimmy Roses,0.227,91.012,4,Go Motion,bay_area,spotify:track:34ghRxzsdklZKnyBl0nvJv,0.788
458,0.21,0.901,190600,0.58,0.0,11,0.295,-5.972,1,Jimmy Roses,0.397,96.985,4,Just Another Day,bay_area,spotify:track:4mRuNxItWyAM6MJtijSt2T,0.614
459,0.0223,0.709,251517,0.752,0.0,8,0.149,-5.896,0,Jimmy Roses,0.0422,92.007,4,Locked N Loaded,bay_area,spotify:track:2XzrpzftMjjxjwWpIIzODq,0.335
460,0.0992,0.844,253037,0.596,1.9e-05,2,0.0877,-8.504,0,Big Mister,0.164,94.717,4,Feel It Coming,bay_area,spotify:track:5lJDbxYMfcu5JmFIiUurck,0.289
461,0.0333,0.661,274012,0.73,1.9e-05,2,0.22,-6.729,1,Big Mister,0.196,172.041,4,Northern Cali Ambitions,bay_area,spotify:track:6kxZntw2GbpRIy9rQklnnT,0.396
462,0.153,0.719,248507,0.467,0.0,10,0.342,-10.354,0,Big Mister,0.147,177.99,3,Holding Back the Tears,bay_area,spotify:track:5RcrtZor8tMRLES9fE2GBl,0.906
463,0.013,0.9,206068,0.616,0.0,1,0.123,-8.838,1,Big Mister,0.322,102.997,4,Same Oh G,bay_area,spotify:track:5XrG4JaQCacQxlOa9NcIA2,0.544
464,0.187,0.769,274615,0.539,0.0,8,0.348,-9.604,1,Big Mister,0.286,181.981,4,Ain't Easy Being Me,bay_area,spotify:track:4IWViDWYtsVCYFrk1JicN7,0.858
465,0.0115,0.802,265109,0.681,0.0,11,0.171,-8.834,0,Big Mister,0.253,92.006,4,Real Shit,bay_area,spotify:track:7LbQOvlQFDecTkiPuBRrDM,0.348
466,0.402,0.734,262041,0.585,0.0,7,0.126,-10.503,1,Big Mister,0.238,97.96,4,Life Lessons,bay_area,spotify:track:27paKjNbA36dDC9enF1PB4,0.427
467,0.00633,0.668,221650,0.79,0.0,4,0.197,-6.012,0,Big Mister,0.0449,102.979,4,I Remember,bay_area,spotify:track:13sM5ctjGFDQCP52ngh69D,0.584
468,0.62,0.918,231733,0.398,0.0,11,0.193,-11.526,0,Big Mister,0.352,94.968,4,Ghetto Thang,bay_area,spotify:track:2Ilq7pImAteKvbleGIhqeM,0.682
469,0.0884,0.914,256300,0.547,5.96e-06,4,0.337,-13.045,1,Big Mister,0.19,99.998,4,The Ghetto,bay_area,spotify:track:4JfpfTg6VmE3SvfFXnzECt,0.458
470,0.0298,0.853,160013,0.933,0.0,7,0.307,-4.735,1,Ono Loco,0.193,117.795,4,Take a Chance,bay_area,spotify:track:4hJRhW2xEXrZQW13e64Ga2,0.691
471,0.0183,0.757,244867,0.666,0.0,9,0.124,-5.533,0,Ono Loco,0.102,98.048,4,Forever Gona Hold It Down,bay_area,spotify:track:5eBY48yQpqzdwTlUtSKHjU,0.148
472,7.37e-05,0.804,224160,0.68,0.0,9,0.341,-6.7,1,Ono Loco,0.11,94.024,4,Huelga Birdz N Old Schoolz,bay_area,spotify:track:1R3gmi37YNBiKFJilH4f2H,0.417
473,0.0216,0.917,224026,0.877,0.0,8,0.0852,-4.712,0,Ono Loco,0.228,103.009,4,We The Plug,bay_area,spotify:track:464z3GUgoSZ6XPvpkUY1JL,0.698
474,0.0161,0.733,240280,0.641,0.0,9,0.137,-6.474,0,Ono Loco,0.124,91.004,4,Only The Strong Survive,bay_area,spotify:track:5OgvbVNbYeEjJdgKWBDJS1,0.346
475,0.0667,0.679,211213,0.809,0.0,9,0.101,-5.177,0,Ono Loco,0.268,100.024,4,Cali4nia North,bay_area,spotify:track:7Monx7yClFiz3o46pq8wAy,0.45
476,0.00169,0.775,229160,0.805,0.0,2,0.183,-5.716,1,Ono Loco,0.248,88.012,4,"Darkest Placez (feat. Ono Loco, Young Loc, Weech & Lil Toro)",bay_area,spotify:track:6pQv6whf3kjdPU0VYMp4kt,0.334
477,0.0589,0.808,225640,0.797,0.0,11,0.157,-4.629,0,Ono Loco,0.262,91.99,4,My Town,bay_area,spotify:track:6BHBj8Co4Cr1lDS4h1yz0I,0.354
478,0.00294,0.609,241907,0.661,0.0,7,0.0931,-7.196,1,Ono Loco,0.28,191.876,4,The Life We Chose,bay_area,spotify:track:6b6jsefPbR3cDyV0oNDRz2,0.307
479,0.0301,0.881,229970,0.868,0.0,4,0.117,-3.554,0,Ono Loco,0.305,92.049,4,Can't Be Like Us,bay_area,spotify:track:0MTo9agS0STCHWaoT6bmLf,0.461
480,0.00221,0.845,223333,0.549,2.85e-05,5,0.198,-5.203,0,Keek Dogg,0.236,92.265,4,"Red Is What I'm Made of (feat. Kriminal, Keek Dogg, & Tito B.)",bay_area,spotify:track:5xFoosGeIuWambXNSmbDXh,0.334
481,0.0814,0.775,206520,0.669,0.0,10,0.332,-5.137,1,Keek Dogg,0.0684,102.368,4,I'll Be Your Puppet (feat. Tweety),bay_area,spotify:track:5XPf32FXtEuLGYU2wwTk09,0.598
482,0.248,0.733,283267,0.832,0.0,9,0.0887,-6.084,0,Keek Dogg,0.126,94.042,4,What You Know About Me (feat. Big Oso Loc & Keek Dogg) - Remix,bay_area,spotify:track:3TG1aLY3eFlQONFBQPpSMW,0.764
483,0.0998,0.841,258667,0.709,0.0,6,0.326,-7.817,0,Keek Dogg,0.326,156.083,4,Show Time (feat. Plot & Fat Steve),bay_area,spotify:track:1OWSTvvN955LisCqaXjuVg,0.773
484,0.37,0.568,281280,0.494,2.87e-06,4,0.142,-10.627,0,Keek Dogg,0.505,78.026,1,This Life (feat. Davina),bay_area,spotify:track:0iatpgYONgnt4qDzSVjqZW,0.689
485,0.0208,0.202,198173,0.767,0.0,7,0.446,-7.387,1,Keek Dogg,0.191,167.743,4,Let's Get Away,bay_area,spotify:track:2h22cImn4xf6gh6voJT0Xp,0.519
486,0.0413,0.753,271120,0.551,0.0,4,0.111,-6.169,0,Keek Dogg,0.176,78.194,4,If My Lonely Heart Could Speak,bay_area,spotify:track:4gEBBpuFkHQoHL7iKnhyUf,0.823
487,0.724,0.741,216373,0.569,0.0,5,0.0829,-5.332,1,Keek Dogg,0.212,79.976,4,Don't Cry For Me (feat. Kuuleilani),bay_area,spotify:track:421ndDH27MZBf7JmHaol7K,0.359
488,0.216,0.671,238147,0.649,0.0,7,0.352,-8.246,1,Keek Dogg,0.222,96.987,4,In the Rain (feat. Weech Lok),bay_area,spotify:track:3evoJHbxB04Iait0LAdPxH,0.695
